text,priority,sentiment
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
Urgent: it issues disrupting submissions,High,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Bus timing is manageable in Block C,Low,Calm
Urgent: fees portal keeps failing,Medium,Frustrated
Urgent: fees portal keeps failing,Medium,Frustrated
Hostel water issue happening repeatedly since yesterday,High,Frustrated
IT issues disrupting submissions,High,Frustrated
Water leakage in lab,Medium,Calm
Bus did not come and students are stranded in Block C,High,Angry
Bus did not come and students are stranded since yesterday,High,Angry
Water leakage in lab since yesterday,Medium,Calm
Bus is late again and it's annoying,Medium,Frustrated
Classroom is too warm,Low,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Sports equipment is damaged multiple times reported,Low,Frustrated
WiFi completely down and nobody responds,High,Angry
Urgent: canteen prices are high and irritating,Low,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Urgent: ragging happening and no action taken,High,Angry
Bus overcrowding causing problems,High,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Urgent: bonafide certificate request pending,Medium,Calm
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Faculty is not responding to doubts,Medium,Frustrated
Classroom is too warm,Low,Frustrated
Bus did not come and students are stranded,High,Angry
WiFi is a bit slow but okay,Low,Calm
WiFi is a bit slow but okay since yesterday,Low,Calm
Ragging happening and no action taken in Block C,High,Angry
Classroom is too warm multiple times reported,Low,Frustrated
Urgent: water leakage in lab,Medium,Calm
Parking space is poorly managed,Low,Frustrated
Urgent: exam results are delayed please update,Medium,Calm
IT issues disrupting submissions since yesterday,High,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Ragging happening and no action taken in Block C,High,Angry
Fees portal keeps failing in Block C,Medium,Frustrated
Urgent: library closes slightly early,Low,Calm
IT issues disrupting submissions in Block C,High,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Library seating is insufficient in Block C,Low,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Canteen food could be better multiple times reported,Low,Calm
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Exam results are delayed please update since yesterday,Medium,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Urgent: library seating is insufficient,Low,Frustrated
Urgent: sports equipment is damaged,Low,Frustrated
Library seating is insufficient,Low,Frustrated
Exam results are delayed please update multiple times reported,Medium,Calm
Internal marks not showing in portal,Medium,Calm
Bus timing is manageable multiple times reported,Low,Calm
Exam results are delayed please update multiple times reported,Medium,Calm
Projector not working in seminar hall since yesterday,Medium,Calm
Canteen prices are high and irritating since yesterday,Low,Frustrated
IT issues disrupting submissions multiple times reported,High,Frustrated
Fees portal keeps failing,Medium,Frustrated
Library seating is insufficient,Low,Frustrated
Classroom is too warm in Block C,Low,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
WiFi is slow and affecting studies multiple times reported,Medium,Frustrated
Parking space is poorly managed since yesterday,Low,Frustrated
WiFi is slow and affecting studies,Medium,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Urgent: internal marks not showing in portal,Medium,Calm
Safety issue reported multiple times ignored,High,Angry
Canteen prices are high and irritating in Block C,Low,Frustrated
Urgent: faculty missing classes frequently,High,Frustrated
Classroom fan makes noise,Low,Calm
Sports equipment is damaged,Low,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Library closes slightly early multiple times reported,Low,Calm
Exam timetable is confusing multiple times reported,Medium,Frustrated
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
Ragging happening and no action taken in Block C,High,Angry
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Exam timetable is confusing multiple times reported,Medium,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Fees portal keeps failing multiple times reported,Medium,Frustrated
Urgent: bus timing is manageable,Low,Calm
Urgent: internal marks not showing in portal,Medium,Calm
Classroom is too warm in Block C,Low,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Fees portal keeps failing multiple times reported,Medium,Frustrated
Exam hall arrangements very poor,High,Frustrated
Classroom fan makes noise,Low,Calm
Canteen food could be better since yesterday,Low,Calm
Canteen prices are high and irritating in Block C,Low,Frustrated
Water leakage in lab multiple times reported,Medium,Calm
Classroom fan makes noise since yesterday,Low,Calm
Bus overcrowding causing problems in Block C,High,Frustrated
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Library seating is insufficient in Block C,Low,Frustrated
Bus is late again and it's annoying in Block C,Medium,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Exam results are delayed please update multiple times reported,Medium,Calm
Canteen food could be better multiple times reported,Low,Calm
Urgent: library seating is insufficient,Low,Frustrated
Canteen food could be better since yesterday,Low,Calm
Faculty missing classes frequently in Block C,High,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Bus did not come and students are stranded,High,Angry
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Projector not working in seminar hall,Medium,Calm
Urgent: bus timing is manageable,Low,Calm
Exam timetable is confusing in Block C,Medium,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Urgent: wifi completely down and nobody responds,High,Angry
Canteen prices are high and irritating,Low,Frustrated
Bonafide certificate request pending in Block C,Medium,Calm
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Urgent: faculty is not responding to doubts,Medium,Frustrated
Exam results are delayed please update multiple times reported,Medium,Calm
Exam hall arrangements very poor in Block C,High,Frustrated
Bus overcrowding causing problems since yesterday,High,Frustrated
Exam timetable is confusing in Block C,Medium,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Urgent: classroom is too warm,Low,Frustrated
Urgent: bus is late again and it's annoying,Medium,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Canteen prices are high and irritating in Block C,Low,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Hostel water issue happening repeatedly in Block C,High,Frustrated
Urgent: canteen food could be better,Low,Calm
Library closes slightly early multiple times reported,Low,Calm
Exam timetable is confusing in Block C,Medium,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Exam timetable is confusing in Block C,Medium,Frustrated
Urgent: it issues disrupting submissions,High,Frustrated
Exam results are delayed please update,Medium,Calm
Bonafide certificate request pending in Block C,Medium,Calm
Bus did not come and students are stranded since yesterday,High,Angry
Bus is late again and it's annoying,Medium,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
IT issues disrupting submissions,High,Frustrated
Bus overcrowding causing problems since yesterday,High,Frustrated
Parking space is poorly managed in Block C,Low,Frustrated
Bonafide certificate request pending,Medium,Calm
Classroom is too warm since yesterday,Low,Frustrated
Urgent: water leakage in lab,Medium,Calm
Classroom fan makes noise since yesterday,Low,Calm
IT issues disrupting submissions multiple times reported,High,Frustrated
Sports equipment is damaged multiple times reported,Low,Frustrated
Sports equipment is damaged in Block C,Low,Frustrated
Hostel water issue happening repeatedly,High,Frustrated
Exam results are delayed please update,Medium,Calm
Parking space is poorly managed in Block C,Low,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Canteen food could be better in Block C,Low,Calm
Ragging happening and no action taken multiple times reported,High,Angry
Safety issue reported multiple times ignored,High,Angry
Bus did not come and students are stranded in Block C,High,Angry
Urgent: bus is late again and it's annoying,Medium,Frustrated
Urgent: faculty is not responding to doubts,Medium,Frustrated
Bus timing is manageable multiple times reported,Low,Calm
Bus timing is manageable multiple times reported,Low,Calm
Library closes slightly early,Low,Calm
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Faculty missing classes frequently,High,Frustrated
Library seating is insufficient,Low,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Urgent: sports equipment is damaged,Low,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Urgent: exam results are delayed please update,Medium,Calm
Bus overcrowding causing problems multiple times reported,High,Frustrated
Faculty missing classes frequently multiple times reported,High,Frustrated
Urgent: parking space is poorly managed,Low,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Classroom is too warm since yesterday,Low,Frustrated
Bus is late again and it's annoying,Medium,Frustrated
Library closes slightly early multiple times reported,Low,Calm
Bus timing is manageable since yesterday,Low,Calm
Exam hall arrangements very poor,High,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Fees portal keeps failing,Medium,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Bus did not come and students are stranded since yesterday,High,Angry
IT issues disrupting submissions since yesterday,High,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Exam timetable is confusing multiple times reported,Medium,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Canteen prices are high and irritating in Block C,Low,Frustrated
Urgent: faculty missing classes frequently,High,Frustrated
Urgent: ragging happening and no action taken,High,Angry
Faculty is not responding to doubts,Medium,Frustrated
WiFi is a bit slow but okay multiple times reported,Low,Calm
Water leakage in lab in Block C,Medium,Calm
Urgent: faculty missing classes frequently,High,Frustrated
Canteen food could be better in Block C,Low,Calm
Bus did not come and students are stranded in Block C,High,Angry
Classroom fan makes noise in Block C,Low,Calm
WiFi is a bit slow but okay since yesterday,Low,Calm
Faculty is not responding to doubts in Block C,Medium,Frustrated
Canteen prices are high and irritating in Block C,Low,Frustrated
Urgent: internal marks not showing in portal,Medium,Calm
Fees portal keeps failing in Block C,Medium,Frustrated
Internal marks not showing in portal since yesterday,Medium,Calm
Internal marks not showing in portal,Medium,Calm
Bus overcrowding causing problems since yesterday,High,Frustrated
Urgent: exam timetable is confusing,Medium,Frustrated
Exam results are delayed please update,Medium,Calm
Internal marks not showing in portal in Block C,Medium,Calm
Exam results are delayed please update in Block C,Medium,Calm
WiFi completely down and nobody responds in Block C,High,Angry
Urgent: classroom fan makes noise,Low,Calm
Urgent: canteen food could be better,Low,Calm
Library closes slightly early in Block C,Low,Calm
Urgent: bus overcrowding causing problems,High,Frustrated
Urgent: library closes slightly early,Low,Calm
Urgent: bus overcrowding causing problems,High,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Faculty missing classes frequently in Block C,High,Frustrated
Bus overcrowding causing problems multiple times reported,High,Frustrated
Urgent: bus is late again and it's annoying,Medium,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Bus overcrowding causing problems since yesterday,High,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Ragging happening and no action taken in Block C,High,Angry
Bus overcrowding causing problems multiple times reported,High,Frustrated
Faculty missing classes frequently since yesterday,High,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
Urgent: library closes slightly early,Low,Calm
Exam hall arrangements very poor multiple times reported,High,Frustrated
Faculty missing classes frequently in Block C,High,Frustrated
Fees portal keeps failing multiple times reported,Medium,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Parking space is poorly managed,Low,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Fees portal keeps failing multiple times reported,Medium,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Exam timetable is confusing,Medium,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Bus is late again and it's annoying,Medium,Frustrated
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Urgent: hostel water issue happening repeatedly,High,Frustrated
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Bus overcrowding causing problems since yesterday,High,Frustrated
Urgent: faculty is not responding to doubts,Medium,Frustrated
Urgent: exam hall arrangements very poor,High,Frustrated
Urgent: library closes slightly early,Low,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Urgent: bonafide certificate request pending,Medium,Calm
Faculty is not responding to doubts in Block C,Medium,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Safety issue reported multiple times ignored,High,Angry
WiFi is a bit slow but okay multiple times reported,Low,Calm
Ragging happening and no action taken in Block C,High,Angry
WiFi is a bit slow but okay,Low,Calm
Sports equipment is damaged multiple times reported,Low,Frustrated
Urgent: exam hall arrangements very poor,High,Frustrated
Urgent: fees portal keeps failing,Medium,Frustrated
Exam results are delayed please update,Medium,Calm
Safety issue reported multiple times ignored since yesterday,High,Angry
Urgent: bonafide certificate request pending,Medium,Calm
Urgent: hostel water issue happening repeatedly,High,Frustrated
WiFi is slow and affecting studies,Medium,Frustrated
Canteen food could be better in Block C,Low,Calm
Fees portal keeps failing,Medium,Frustrated
Urgent: canteen food could be better,Low,Calm
Library seating is insufficient since yesterday,Low,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Urgent: exam hall arrangements very poor,High,Frustrated
Fees portal keeps failing since yesterday,Medium,Frustrated
Hostel bathroom is filthy and unacceptable,High,Angry
Urgent: hostel water issue happening repeatedly,High,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Fees portal keeps failing since yesterday,Medium,Frustrated
Hostel bathroom is filthy and unacceptable,High,Angry
Ragging happening and no action taken,High,Angry
WiFi completely down and nobody responds since yesterday,High,Angry
Hostel water issue happening repeatedly,High,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Exam hall arrangements very poor,High,Frustrated
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
Library closes slightly early multiple times reported,Low,Calm
Bus did not come and students are stranded multiple times reported,High,Angry
Exam results are delayed please update since yesterday,Medium,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Urgent: bus is late again and it's annoying,Medium,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Sports equipment is damaged since yesterday,Low,Frustrated
Canteen food could be better in Block C,Low,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
Bus overcrowding causing problems multiple times reported,High,Frustrated
Exam timetable is confusing multiple times reported,Medium,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
Bonafide certificate request pending,Medium,Calm
Library seating is insufficient since yesterday,Low,Frustrated
Bus timing is manageable in Block C,Low,Calm
Urgent: wifi is a bit slow but okay,Low,Calm
Bus overcrowding causing problems,High,Frustrated
Classroom fan makes noise multiple times reported,Low,Calm
Bus overcrowding causing problems in Block C,High,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
WiFi completely down and nobody responds since yesterday,High,Angry
Urgent: faculty is not responding to doubts,Medium,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Canteen food could be better,Low,Calm
Internal marks not showing in portal since yesterday,Medium,Calm
Library closes slightly early since yesterday,Low,Calm
Exam timetable is confusing since yesterday,Medium,Frustrated
IT issues disrupting submissions since yesterday,High,Frustrated
Faculty missing classes frequently in Block C,High,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Urgent: library seating is insufficient,Low,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Urgent: sports equipment is damaged,Low,Frustrated
Urgent: canteen food could be better,Low,Calm
Parking space is poorly managed multiple times reported,Low,Frustrated
WiFi completely down and nobody responds,High,Angry
Internal marks not showing in portal,Medium,Calm
Sports equipment is damaged,Low,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Urgent: bus did not come and students are stranded,High,Angry
Canteen prices are high and irritating since yesterday,Low,Frustrated
Bus did not come and students are stranded since yesterday,High,Angry
Bus did not come and students are stranded since yesterday,High,Angry
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Exam results are delayed please update since yesterday,Medium,Calm
Library seating is insufficient since yesterday,Low,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Bus is late again and it's annoying,Medium,Frustrated
Parking space is poorly managed since yesterday,Low,Frustrated
Hostel bathroom is filthy and unacceptable,High,Angry
Urgent: exam timetable is confusing,Medium,Frustrated
Urgent: safety issue reported multiple times ignored,High,Angry
Urgent: fees portal keeps failing,Medium,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
Urgent: exam hall arrangements very poor,High,Frustrated
Bus did not come and students are stranded,High,Angry
Urgent: exam hall arrangements very poor,High,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Urgent: projector not working in seminar hall,Medium,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
WiFi is slow and affecting studies in Block C,Medium,Frustrated
IT issues disrupting submissions,High,Frustrated
Internal marks not showing in portal since yesterday,Medium,Calm
Urgent: faculty is not responding to doubts,Medium,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Canteen food could be better,Low,Calm
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Water leakage in lab,Medium,Calm
WiFi is slow and affecting studies,Medium,Frustrated
Urgent: wifi completely down and nobody responds,High,Angry
Library seating is insufficient,Low,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Faculty is not responding to doubts,Medium,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Parking space is poorly managed,Low,Frustrated
Urgent: bus timing is manageable,Low,Calm
Exam results are delayed please update since yesterday,Medium,Calm
Projector not working in seminar hall multiple times reported,Medium,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Library seating is insufficient,Low,Frustrated
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Urgent: bus is late again and it's annoying,Medium,Frustrated
Bus timing is manageable,Low,Calm
Sports equipment is damaged,Low,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Classroom fan makes noise,Low,Calm
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
Bus overcrowding causing problems,High,Frustrated
Fees portal keeps failing since yesterday,Medium,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Fees portal keeps failing in Block C,Medium,Frustrated
Urgent: bus is late again and it's annoying,Medium,Frustrated
Canteen food could be better in Block C,Low,Calm
Canteen food could be better since yesterday,Low,Calm
Canteen food could be better multiple times reported,Low,Calm
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Exam results are delayed please update,Medium,Calm
Hostel water issue happening repeatedly since yesterday,High,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Water leakage in lab in Block C,Medium,Calm
Urgent: parking space is poorly managed,Low,Frustrated
Hostel water issue happening repeatedly since yesterday,High,Frustrated
Ragging happening and no action taken in Block C,High,Angry
Parking space is poorly managed since yesterday,Low,Frustrated
Bus overcrowding causing problems,High,Frustrated
Bonafide certificate request pending,Medium,Calm
Urgent: classroom is too warm,Low,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Internal marks not showing in portal since yesterday,Medium,Calm
Parking space is poorly managed since yesterday,Low,Frustrated
Faculty missing classes frequently in Block C,High,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Bus did not come and students are stranded since yesterday,High,Angry
Ragging happening and no action taken multiple times reported,High,Angry
Urgent: exam hall arrangements very poor,High,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Faculty missing classes frequently in Block C,High,Frustrated
Ragging happening and no action taken,High,Angry
Urgent: canteen food could be better,Low,Calm
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
Bus is late again and it's annoying,Medium,Frustrated
WiFi is a bit slow but okay,Low,Calm
Ragging happening and no action taken in Block C,High,Angry
WiFi completely down and nobody responds multiple times reported,High,Angry
Classroom is too warm multiple times reported,Low,Frustrated
Urgent: safety issue reported multiple times ignored,High,Angry
Ragging happening and no action taken,High,Angry
IT issues disrupting submissions in Block C,High,Frustrated
Ragging happening and no action taken,High,Angry
Internal marks not showing in portal in Block C,Medium,Calm
Urgent: hostel water issue happening repeatedly,High,Frustrated
WiFi is a bit slow but okay,Low,Calm
Urgent: bus overcrowding causing problems,High,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Urgent: it issues disrupting submissions,High,Frustrated
Urgent: exam results are delayed please update,Medium,Calm
Bonafide certificate request pending,Medium,Calm
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Urgent: exam timetable is confusing,Medium,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Exam results are delayed please update multiple times reported,Medium,Calm
Fees portal keeps failing,Medium,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Canteen food could be better multiple times reported,Low,Calm
Bus is late again and it's annoying,Medium,Frustrated
Classroom fan makes noise multiple times reported,Low,Calm
Classroom is too warm,Low,Frustrated
Safety issue reported multiple times ignored,High,Angry
Library closes slightly early in Block C,Low,Calm
Safety issue reported multiple times ignored multiple times reported,High,Angry
Urgent: water leakage in lab,Medium,Calm
Classroom is too warm in Block C,Low,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
WiFi is slow and affecting studies,Medium,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Sports equipment is damaged,Low,Frustrated
Canteen prices are high and irritating in Block C,Low,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Safety issue reported multiple times ignored in Block C,High,Angry
Urgent: bus did not come and students are stranded,High,Angry
Exam timetable is confusing,Medium,Frustrated
Canteen food could be better multiple times reported,Low,Calm
Classroom is too warm since yesterday,Low,Frustrated
Library closes slightly early in Block C,Low,Calm
Parking space is poorly managed multiple times reported,Low,Frustrated
Internal marks not showing in portal,Medium,Calm
Classroom is too warm in Block C,Low,Frustrated
Classroom fan makes noise in Block C,Low,Calm
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
WiFi is a bit slow but okay in Block C,Low,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Sports equipment is damaged,Low,Frustrated
Urgent: sports equipment is damaged,Low,Frustrated
Internal marks not showing in portal,Medium,Calm
Exam results are delayed please update multiple times reported,Medium,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Urgent: bus overcrowding causing problems,High,Frustrated
Water leakage in lab,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Ragging happening and no action taken,High,Angry
Exam results are delayed please update in Block C,Medium,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Canteen food could be better since yesterday,Low,Calm
Library seating is insufficient since yesterday,Low,Frustrated
Bus overcrowding causing problems multiple times reported,High,Frustrated
Urgent: it issues disrupting submissions,High,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
IT issues disrupting submissions multiple times reported,High,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Exam results are delayed please update multiple times reported,Medium,Calm
Internal marks not showing in portal multiple times reported,Medium,Calm
Urgent: internal marks not showing in portal,Medium,Calm
Canteen prices are high and irritating since yesterday,Low,Frustrated
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Exam results are delayed please update,Medium,Calm
Urgent: library closes slightly early,Low,Calm
Sports equipment is damaged,Low,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Projector not working in seminar hall,Medium,Calm
Urgent: classroom is too warm,Low,Frustrated
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Exam results are delayed please update since yesterday,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Urgent: classroom is too warm,Low,Frustrated
Exam hall arrangements very poor,High,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
Bus did not come and students are stranded multiple times reported,High,Angry
Water leakage in lab in Block C,Medium,Calm
WiFi completely down and nobody responds multiple times reported,High,Angry
Bus is late again and it's annoying,Medium,Frustrated
Safety issue reported multiple times ignored multiple times reported,High,Angry
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Urgent: ragging happening and no action taken,High,Angry
Urgent: water leakage in lab,Medium,Calm
WiFi is a bit slow but okay multiple times reported,Low,Calm
Classroom fan makes noise since yesterday,Low,Calm
Water leakage in lab in Block C,Medium,Calm
Bus did not come and students are stranded multiple times reported,High,Angry
Internal marks not showing in portal,Medium,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Urgent: safety issue reported multiple times ignored,High,Angry
Library closes slightly early since yesterday,Low,Calm
Urgent: classroom is too warm,Low,Frustrated
Exam results are delayed please update,Medium,Calm
Sports equipment is damaged,Low,Frustrated
Urgent: internal marks not showing in portal,Medium,Calm
Fees portal keeps failing,Medium,Frustrated
Urgent: hostel water issue happening repeatedly,High,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Urgent: canteen prices are high and irritating,Low,Frustrated
Bus overcrowding causing problems,High,Frustrated
Bonafide certificate request pending since yesterday,Medium,Calm
Classroom is too warm since yesterday,Low,Frustrated
Urgent: library seating is insufficient,Low,Frustrated
Bus timing is manageable multiple times reported,Low,Calm
Ragging happening and no action taken in Block C,High,Angry
Urgent: bonafide certificate request pending,Medium,Calm
Urgent: bus did not come and students are stranded,High,Angry
Exam timetable is confusing since yesterday,Medium,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Sports equipment is damaged in Block C,Low,Frustrated
Bonafide certificate request pending multiple times reported,Medium,Calm
Urgent: parking space is poorly managed,Low,Frustrated
Canteen food could be better,Low,Calm
Classroom is too warm multiple times reported,Low,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Exam timetable is confusing since yesterday,Medium,Frustrated
Fees portal keeps failing since yesterday,Medium,Frustrated
Exam timetable is confusing,Medium,Frustrated
Hostel water issue happening repeatedly,High,Frustrated
Urgent: bus overcrowding causing problems,High,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Classroom is too warm multiple times reported,Low,Frustrated
Urgent: fees portal keeps failing,Medium,Frustrated
Bonafide certificate request pending,Medium,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Exam hall arrangements very poor,High,Frustrated
WiFi is a bit slow but okay,Low,Calm
