text,category
Urgent: class is too fast to understand,Faculty / Academics
Exam center changed suddenly in Block C,Exams / Results
Office is not responding in Block C,Fees / Admin
Bus seats are damaged during peak hours,Transport
Ragging happening near canteen,Ragging / Safety
Fee receipt not generated during peak hours,Fees / Admin
Sports equipment is damaged since yesterday,Other
Result correction request pending during peak hours,Exams / Results
Refund not processed,Fees / Admin
No water in hostel bathroom since yesterday,Hostel
Menu prices not displayed in Block C,Canteen
Utensils are dirty in Block C,Canteen
No escort service at night in Block C,Ragging / Safety
Bullying in college campus during peak hours,Ragging / Safety
Hostel WiFi not working in Block C,Hostel
No guidance for projects during peak hours,Faculty / Academics
Bus stop changed without notice,Transport
Air circulation is poor,Infrastructure
Urgent: staff behavior is rude in canteen,Canteen
ID card not issued since yesterday,Fees / Admin
No drinking water near canteen during peak hours,Canteen
Need more study space,Other
Air circulation is poor during peak hours,Infrastructure
Hostel WiFi not working in Block C,Hostel
Admin staff is rude since yesterday,Fees / Admin
Urgent: captcha error on login,IT / WiFi
Urgent: verbal abuse by seniors,Ragging / Safety
Feedback not considered since yesterday,Faculty / Academics
Feedback not considered,Faculty / Academics
Food is overpriced in canteen since yesterday,Canteen
Urgent: bus cleanliness is poor,Transport
Projector not working in seminar hall during peak hours,Infrastructure
Lights are not working in corridor in Block C,Infrastructure
Canteen is overcrowded in Block C,Canteen
Urgent: bus is late every morning,Transport
Seating arrangement confusion since yesterday,Exams / Results
Captcha error on login,IT / WiFi
No ramps for accessibility in Block C,Infrastructure
No response for TC request in Block C,Fees / Admin
Urgent: cracked wall in classroom,Infrastructure
Projector not working in seminar hall in Block C,Infrastructure
Password reset not working,IT / WiFi
No notes provided by faculty during peak hours,Faculty / Academics
Bus timings are inconvenient since yesterday,Transport
Door hinges are broken during peak hours,Infrastructure
Orientation sessions are unclear during peak hours,Other
Internet speed is very slow since yesterday,IT / WiFi
Wardens not responding to complaints,Hostel
Urgent: mentor meetings are irregular,Faculty / Academics
Food is stale during peak hours,Canteen
Faculty behavior is rude,Faculty / Academics
Fee receipt not generated during peak hours,Fees / Admin
Canteen is overcrowded during peak hours,Canteen
Urgent: exam timetable not released,Exams / Results
Urgent: need more water coolers,Other
Fee receipt not generated during peak hours,Fees / Admin
Broken bench in classroom during peak hours,Infrastructure
Admit card download failed,Exams / Results
Food is stale since yesterday,Canteen
No internet in classroom since yesterday,IT / WiFi
Late announcement of exam changes since yesterday,Exams / Results
Urgent: windows are jammed,Infrastructure
Question paper had errors since yesterday,Exams / Results
Mosquito problem in hostel room,Hostel
Bus route has been changed suddenly during peak hours,Transport
Verbal abuse by seniors since yesterday,Ragging / Safety
Bed is broken in hostel room during peak hours,Hostel
Fee receipt not generated in Block C,Fees / Admin
Limited food options available,Canteen
Teaching quality is poor in Block C,Faculty / Academics
Urgent: bus stop changed without notice,Transport
Urgent: no internet in classroom,IT / WiFi
Urgent: no bus available for evening batch,Transport
No ramps for accessibility in Block C,Infrastructure
Food is stale in Block C,Canteen
Urgent: wrong marks updated in portal,Exams / Results
Question paper had errors since yesterday,Exams / Results
Urgent: room fan is not working in hostel,Hostel
Safety signage missing during peak hours,Ragging / Safety
Bed is broken in hostel room,Hostel
Dirty washroom in hostel block in Block C,Hostel
Windows are jammed during peak hours,Infrastructure
Urgent: seating arrangement confusion,Exams / Results
Windows are jammed in Block C,Infrastructure
No dustbin in corridor since yesterday,Infrastructure
Hall ticket not generated since yesterday,Exams / Results
Urgent: projector not working in seminar hall,Infrastructure
Urgent: parking space is insufficient,Other
Urgent: portal shows error while uploading,IT / WiFi
Safety signage missing since yesterday,Ragging / Safety
Urgent: no digital payment accepted,Canteen
ID card not issued during peak hours,Fees / Admin
Faculty is not responding to doubts since yesterday,Faculty / Academics
Urgent: no seating space in peak hours,Canteen
Security guards not attentive during peak hours,Ragging / Safety
Urgent: mentor meetings are irregular,Faculty / Academics
No quiet zones in library in Block C,Other
Bus route has been changed suddenly,Transport
Threats received from seniors during peak hours,Ragging / Safety
Broken bench in classroom during peak hours,Infrastructure
Toilet is very dirty since yesterday,Infrastructure
Course outcomes not explained in Block C,Faculty / Academics
No guidance for projects during peak hours,Faculty / Academics
Room fan is not working in hostel in Block C,Hostel
Doubts not cleared in lab during peak hours,Faculty / Academics
Scholarship amount not credited since yesterday,Fees / Admin
Document verification delayed since yesterday,Fees / Admin
Faculty behavior is rude during peak hours,Faculty / Academics
WiFi disconnects frequently in Block C,IT / WiFi
Bus timings are inconvenient since yesterday,Transport
College website is not opening since yesterday,IT / WiFi
Campus is too crowded since yesterday,Other
Need more charging points during peak hours,Other
No quiet zones in library in Block C,Other
Canteen food quality is bad in Block C,Canteen
Faculty is not responding to doubts in Block C,Faculty / Academics
Urgent: feeling unsafe in hostel at night,Ragging / Safety
Scholarship amount not credited since yesterday,Fees / Admin
Cracked wall in classroom in Block C,Infrastructure
Water leakage in lab since yesterday,Infrastructure
Urgent: vpn access is failing,IT / WiFi
Driver drives rashly in Block C,Transport
Revaluation result pending in Block C,Exams / Results
Faculty behavior is rude in Block C,Faculty / Academics
Classroom speakers not working in Block C,Infrastructure
Bus is overcrowded during peak hours,Transport
Urgent: portal shows error while uploading,IT / WiFi
Feedback not considered in Block C,Faculty / Academics
Need more cultural events,Other
Dirty washroom in hostel block during peak hours,Hostel
Staff behavior is rude in canteen during peak hours,Canteen
Canteen is overcrowded,Canteen
No bus available for evening batch in Block C,Transport
Teacher is not explaining properly,Faculty / Academics
Urgent: canteen is overcrowded,Canteen
Bullying in college campus since yesterday,Ragging / Safety
Teaching quality is poor since yesterday,Faculty / Academics
Campus is too crowded since yesterday,Other
WiFi disconnects frequently in Block C,IT / WiFi
Faculty is absent frequently since yesterday,Faculty / Academics
Urgent: admin staff is rude,Fees / Admin
Urgent: room light is flickering in hostel,Hostel
Urgent: hot water not available in hostel,Hostel
No drinking water near canteen in Block C,Canteen
LMS not loading videos since yesterday,IT / WiFi
Feedback not considered since yesterday,Faculty / Academics
Urgent: teacher arrives late to class,Faculty / Academics
No notes provided by faculty since yesterday,Faculty / Academics
Threats received from seniors during peak hours,Ragging / Safety
Wrong marks updated in portal,Exams / Results
Two-factor authentication not working,IT / WiFi
Internal marks not showing,Exams / Results
ID card not issued,Fees / Admin
Door hinges are broken since yesterday,Infrastructure
Bed is broken in hostel room in Block C,Hostel
Office hours unclear since yesterday,Fees / Admin
Result portal is not loading in Block C,Exams / Results
Answer scripts not uploaded,Exams / Results
Mosquito problem in hostel room in Block C,Hostel
No ramps for accessibility since yesterday,Infrastructure
Network issue in library since yesterday,IT / WiFi
Seating arrangement confusion in Block C,Exams / Results
Library closing too early during peak hours,Other
Fee deadline extension needed since yesterday,Fees / Admin
Campus is too crowded since yesterday,Other
Limited food options available,Canteen
Urgent: projector not working in seminar hall,Infrastructure
Exam schedule overlaps in Block C,Exams / Results
Urgent: course outcomes not explained,Faculty / Academics
Classroom speakers not working,Infrastructure
Document verification delayed in Block C,Fees / Admin
Hostel food quality is very bad in Block C,Hostel
Drinking water cooler not working in hostel,Hostel
Server is down during submission during peak hours,IT / WiFi
Urgent: class is too fast to understand,Faculty / Academics
Menu prices not displayed in Block C,Canteen
Fee deadline extension needed in Block C,Fees / Admin
Urgent: refund not processed,Fees / Admin
Urgent: no drinking water near canteen,Canteen
Revaluation result pending since yesterday,Exams / Results
Hostel food quality is very bad during peak hours,Hostel
Food is stale during peak hours,Canteen
Bed is broken in hostel room,Hostel
Urgent: projector not working in seminar hall,Infrastructure
Urgent: no quiet zones in library,Other
Menu prices not displayed,Canteen
Urgent: need more cultural events,Other
Urgent: bus is late every morning,Transport
Lack of green spaces on campus since yesterday,Other
Long waiting time in canteen,Canteen
Urgent: no water in hostel bathroom,Hostel
Password reset not working during peak hours,IT / WiFi
Library closing too early since yesterday,Other
No notes provided by faculty,Faculty / Academics
Bus pass not issued during peak hours,Transport
Bus AC not working in Block C,Transport
Need more water coolers during peak hours,Other
Limited food options available since yesterday,Canteen
Lights are not working in corridor in Block C,Infrastructure
Scholarship amount not credited in Block C,Fees / Admin
ID card not issued since yesterday,Fees / Admin
Power cut in hostel since morning,Hostel
Hall ticket not generated since yesterday,Exams / Results
Mentor meetings are irregular,Faculty / Academics
VPN access is failing during peak hours,IT / WiFi
Utensils are dirty since yesterday,Canteen
Security guards not attentive since yesterday,Ragging / Safety
Hostel food quality is very bad,Hostel
Room fan is not working in hostel since yesterday,Hostel
Feeling unsafe in hostel at night in Block C,Ragging / Safety
Projector not working in seminar hall during peak hours,Infrastructure
Hostel common area is unhygienic during peak hours,Hostel
Bonafide certificate delayed,Fees / Admin
Dirty washroom in hostel block,Hostel
Urgent: no drinking water near canteen,Canteen
Hall ticket not generated in Block C,Exams / Results
Wardens not responding to complaints,Hostel
Seating arrangement confusion,Exams / Results
Urgent: admit card download failed,Exams / Results
Ragging happening near canteen since yesterday,Ragging / Safety
Canteen closes too early in Block C,Canteen
Password reset not working during peak hours,IT / WiFi
Urgent: drinking water cooler not working in hostel,Hostel
Air circulation is poor since yesterday,Infrastructure
Long waiting time in canteen since yesterday,Canteen
Bus stop changed without notice since yesterday,Transport
Unauthorized people entering campus during peak hours,Ragging / Safety
Limited food options available during peak hours,Canteen
Canteen food quality is bad in Block C,Canteen
Revaluation result pending,Exams / Results
Teacher is not explaining properly during peak hours,Faculty / Academics
Lack of green spaces on campus during peak hours,Other
Office is not responding,Fees / Admin
Class is too fast to understand during peak hours,Faculty / Academics
Two-factor authentication not working in Block C,IT / WiFi
Need alumni mentorship programs,Other
Bus is overcrowded in Block C,Transport
Urgent: hostel common area is unhygienic,Hostel
Urgent: seating arrangement confusion,Exams / Results
No bus available for evening batch,Transport
Bus is overcrowded during peak hours,Transport
AC not cooling in hostel room,Hostel
Hostel food quality is very bad,Hostel
Fees payment failed but amount debited since yesterday,Fees / Admin
Bus is overcrowded during peak hours,Transport
Two-factor authentication not working during peak hours,IT / WiFi
Fees payment failed but amount debited in Block C,Fees / Admin
No guidance for projects during peak hours,Faculty / Academics
Urgent: power cut in hostel since morning,Hostel
Food allergy info not available,Canteen
No water in hostel bathroom since yesterday,Hostel
Urgent: admin staff is rude,Fees / Admin
No CCTV in corridor,Ragging / Safety
Verbal abuse by seniors during peak hours,Ragging / Safety
AC not cooling in hostel room during peak hours,Hostel
Urgent: document verification delayed,Fees / Admin
Hall ticket not generated since yesterday,Exams / Results
Urgent: power cut in hostel since morning,Hostel
Need career guidance sessions,Other
Hostel common area is unhygienic in Block C,Hostel
Mentor meetings are irregular during peak hours,Faculty / Academics
Syllabus not completed on time during peak hours,Faculty / Academics
Utensils are dirty since yesterday,Canteen
Fee receipt not generated since yesterday,Fees / Admin
VPN access is failing in Block C,IT / WiFi
Password reset not working in Block C,IT / WiFi
Urgent: canteen is overcrowded,Canteen
Doubts not cleared in lab in Block C,Faculty / Academics
Seniors are harassing juniors since yesterday,Ragging / Safety
Need alumni mentorship programs since yesterday,Other
Answer scripts not uploaded in Block C,Exams / Results
Mentor meetings are irregular since yesterday,Faculty / Academics
Urgent: unable to login to student portal,IT / WiFi
No water in hostel bathroom,Hostel
VPN access is failing during peak hours,IT / WiFi
Orientation sessions are unclear in Block C,Other
Urgent: attendance portal is slow,IT / WiFi
Unfair internal marks given,Faculty / Academics
Hot water not available in hostel during peak hours,Hostel
Urgent: drinking water cooler not working in hostel,Hostel
Broken door lock in hostel room since yesterday,Hostel
Result portal is not loading during peak hours,Exams / Results
Urgent: campus is too crowded,Other
Verbal abuse by seniors during peak hours,Ragging / Safety
Food is stale in Block C,Canteen
Two-factor authentication not working in Block C,IT / WiFi
Urgent: food is overpriced in canteen,Canteen
Syllabus not completed on time in Block C,Faculty / Academics
Emergency helpline not responding,Ragging / Safety
WiFi disconnects frequently during peak hours,IT / WiFi
No digital payment accepted during peak hours,Canteen
Transport fee is too high during peak hours,Transport
Unauthorized people entering campus since yesterday,Ragging / Safety
Urgent: doubts not cleared in lab,Faculty / Academics
Urgent: fees payment failed but amount debited,Fees / Admin
Urgent: projector not working in seminar hall,Infrastructure
Urgent: captcha error on login,IT / WiFi
Bullying in college campus during peak hours,Ragging / Safety
Urgent: hostel food quality is very bad,Hostel
Portal shows error while uploading since yesterday,IT / WiFi
ID card not issued,Fees / Admin
No water in hostel bathroom during peak hours,Hostel
Office is not responding,Fees / Admin
Food is stale,Canteen
No dustbin in corridor during peak hours,Infrastructure
Broken door lock in hostel room during peak hours,Hostel
College website is not opening in Block C,IT / WiFi
Faculty is not responding to doubts during peak hours,Faculty / Academics
Threats received from seniors during peak hours,Ragging / Safety
Transport fee is too high during peak hours,Transport
Network issue in library during peak hours,IT / WiFi
Food is stale,Canteen
Driver drives rashly during peak hours,Transport
Urgent: door hinges are broken,Infrastructure
Class is too fast to understand,Faculty / Academics
Attendance portal is slow since yesterday,IT / WiFi
Class is too fast to understand,Faculty / Academics
Urgent: wardens not responding to complaints,Hostel
Mentor meetings are irregular since yesterday,Faculty / Academics
Dirty washroom in hostel block,Hostel
Need career guidance sessions,Other
No announcement about bus delays since yesterday,Transport
Emergency helpline not responding,Ragging / Safety
Urgent: fees portal not opening,Fees / Admin
Security is not available in block B during peak hours,Ragging / Safety
No escort service at night in Block C,Ragging / Safety
Bus is late every morning during peak hours,Transport
Document verification delayed during peak hours,Fees / Admin
No CCTV in corridor during peak hours,Ragging / Safety
Lift not working in block C during peak hours,Infrastructure
Office is not responding since yesterday,Fees / Admin
Urgent: need more water coolers,Other
Urgent: doubts not cleared in lab,Faculty / Academics
Emergency helpline not responding,Ragging / Safety
Result correction request pending in Block C,Exams / Results
Unable to login to student portal,IT / WiFi
No hygienic conditions in canteen,Canteen
Air circulation is poor since yesterday,Infrastructure
Urgent: bullying in college campus,Ragging / Safety
Urgent: teacher is not explaining properly,Faculty / Academics
Urgent: question paper had errors,Exams / Results
Scholarship amount not credited in Block C,Fees / Admin
ID card not issued during peak hours,Fees / Admin
Urgent: fee deadline extension needed,Fees / Admin
Urgent: question paper had errors,Exams / Results
No internet in classroom,IT / WiFi
Urgent: exam center changed suddenly,Exams / Results
Room light is flickering in hostel,Hostel
Bus breakdown on the way since yesterday,Transport
Bed is broken in hostel room in Block C,Hostel
Fan is not working in class since yesterday,Infrastructure
Cracked wall in classroom since yesterday,Infrastructure
Urgent: no escort service at night,Ragging / Safety
Threats received from seniors during peak hours,Ragging / Safety
Broken bench in classroom in Block C,Infrastructure
Bus stop changed without notice in Block C,Transport
Suspicious activity near hostel gate,Ragging / Safety
Urgent: hostel food quality is very bad,Hostel
Urgent: menu prices not displayed,Canteen
Door hinges are broken since yesterday,Infrastructure
Driver drives rashly during peak hours,Transport
Canteen food quality is bad during peak hours,Canteen
Broken bench in classroom during peak hours,Infrastructure
Urgent: password reset not working,IT / WiFi
Urgent: canteen food quality is bad,Canteen
Faculty behavior is rude since yesterday,Faculty / Academics
Exam timetable not released since yesterday,Exams / Results
Unauthorized people entering campus during peak hours,Ragging / Safety
Bus seats are damaged during peak hours,Transport
Need alumni mentorship programs in Block C,Other
Utensils are dirty in Block C,Canteen
Unauthorized people entering campus during peak hours,Ragging / Safety
Canteen food quality is bad since yesterday,Canteen
Urgent: faculty is not responding to doubts,Faculty / Academics
Lift not working in block C,Infrastructure
Fee receipt not generated,Fees / Admin
Canteen food quality is bad since yesterday,Canteen
Toilet is very dirty in Block C,Infrastructure
Hostel food quality is very bad since yesterday,Hostel
Dirty washroom in hostel block in Block C,Hostel
Air circulation is poor,Infrastructure
Drinking water cooler not working in hostel since yesterday,Hostel
Scholarship amount not credited since yesterday,Fees / Admin
Teacher is not explaining properly in Block C,Faculty / Academics
Hall ticket not generated,Exams / Results
Urgent: no quiet zones in library,Other
Door hinges are broken during peak hours,Infrastructure
Syllabus not completed on time since yesterday,Faculty / Academics
No digital payment accepted,Canteen
Bus AC not working during peak hours,Transport
Urgent: limited food options available,Canteen
Class is too fast to understand,Faculty / Academics
Urgent: teacher arrives late to class,Faculty / Academics
Urgent: no seating space in peak hours,Canteen
Urgent: teacher arrives late to class,Faculty / Academics
Bus AC not working in Block C,Transport
Seating arrangement confusion in Block C,Exams / Results
Urgent: teacher arrives late to class,Faculty / Academics
Drinking water cooler not working in hostel since yesterday,Hostel
Faculty is absent frequently since yesterday,Faculty / Academics
Admit card download failed since yesterday,Exams / Results
Urgent: office is not responding,Fees / Admin
Urgent: bus pass not issued,Transport
Scholarship amount not credited during peak hours,Fees / Admin
Hostel WiFi not working in Block C,Hostel
Driver drives rashly in Block C,Transport
Doubts not cleared in lab during peak hours,Faculty / Academics
Windows are jammed during peak hours,Infrastructure
Urgent: office hours unclear,Fees / Admin
Captcha error on login during peak hours,IT / WiFi
No notes provided by faculty,Faculty / Academics
Water leakage in lab in Block C,Infrastructure
Exam schedule overlaps in Block C,Exams / Results
Urgent: two-factor authentication not working,IT / WiFi
Seating arrangement confusion during peak hours,Exams / Results
Room light is flickering in hostel,Hostel
Canteen closes too early since yesterday,Canteen
Seniors are harassing juniors during peak hours,Ragging / Safety
No announcement about bus delays,Transport
No internet in classroom during peak hours,IT / WiFi
Hostel WiFi not working since yesterday,Hostel
Classroom is too hot,Infrastructure
Library closing too early since yesterday,Other
Fees payment failed but amount debited,Fees / Admin
Portal shows error while uploading in Block C,IT / WiFi
WiFi is not working in the lab since yesterday,IT / WiFi
Bus did not come today since yesterday,Transport
Fee receipt not generated in Block C,Fees / Admin
Fees portal not opening during peak hours,Fees / Admin
Urgent: mentor meetings are irregular,Faculty / Academics
Urgent: exam center changed suddenly,Exams / Results
Canteen food quality is bad in Block C,Canteen
Classroom is too hot during peak hours,Infrastructure
Captcha error on login,IT / WiFi
Bus is late every morning in Block C,Transport
Lack of green spaces on campus,Other
Canteen is overcrowded,Canteen
Canteen is overcrowded since yesterday,Canteen
Bus is overcrowded during peak hours,Transport
Refund not processed,Fees / Admin
Need more cultural events,Other
ID card not issued,Fees / Admin
Orientation sessions are unclear since yesterday,Other
Windows are jammed since yesterday,Infrastructure
No hygienic conditions in canteen in Block C,Canteen
Bus stop changed without notice since yesterday,Transport
Room fan is not working in hostel during peak hours,Hostel
No internet in classroom,IT / WiFi
Urgent: unable to login to student portal,IT / WiFi
Bus stop changed without notice,Transport
Urgent: id card not issued,Fees / Admin
Question paper had errors since yesterday,Exams / Results
Admin staff is rude since yesterday,Fees / Admin
Lack of green spaces on campus in Block C,Other
Urgent: water leakage in lab,Infrastructure
Bus timings are inconvenient since yesterday,Transport
Doubts not cleared in lab in Block C,Faculty / Academics
Urgent: feeling unsafe in hostel at night,Ragging / Safety
Dirty washroom in hostel block during peak hours,Hostel
Faculty behavior is rude in Block C,Faculty / Academics
Campus is too crowded since yesterday,Other
Mentor meetings are irregular,Faculty / Academics
Fee receipt not generated in Block C,Fees / Admin
Sports equipment is damaged during peak hours,Other
Urgent: admin staff is rude,Fees / Admin
Refund not processed during peak hours,Fees / Admin
Result portal is not loading during peak hours,Exams / Results
Need alumni mentorship programs during peak hours,Other
Classroom speakers not working in Block C,Infrastructure
Urgent: no response for tc request,Fees / Admin
No notes provided by faculty in Block C,Faculty / Academics
Feedback not considered since yesterday,Faculty / Academics
Urgent: canteen food quality is bad,Canteen
No notes provided by faculty since yesterday,Faculty / Academics
Menu prices not displayed in Block C,Canteen
Hostel WiFi not working in Block C,Hostel
Unfair internal marks given in Block C,Faculty / Academics
Feedback not considered since yesterday,Faculty / Academics
Captcha error on login in Block C,IT / WiFi
Document verification delayed during peak hours,Fees / Admin
Staff behavior is rude in canteen during peak hours,Canteen
Bus is late every morning since yesterday,Transport
Urgent: no drinking water near canteen,Canteen
No CCTV in corridor in Block C,Ragging / Safety
Urgent: security guards not attentive,Ragging / Safety
Question paper had errors during peak hours,Exams / Results
Urgent: hostel wifi not working,Hostel
Admit card download failed since yesterday,Exams / Results
Urgent: classroom speakers not working,Infrastructure
Driver drives rashly during peak hours,Transport
No dustbin in corridor in Block C,Infrastructure
Urgent: menu prices not displayed,Canteen
Fee deadline extension needed since yesterday,Fees / Admin
Room fan is not working in hostel since yesterday,Hostel
No escort service at night since yesterday,Ragging / Safety
Door hinges are broken during peak hours,Infrastructure
Unable to login to student portal,IT / WiFi
Parking space is insufficient,Other
Urgent: vpn access is failing,IT / WiFi
Urgent: hostel food quality is very bad,Hostel
Safety signage missing in Block C,Ragging / Safety
Urgent: course outcomes not explained,Faculty / Academics
Broken bench in classroom in Block C,Infrastructure
Campus is too crowded during peak hours,Other
No hygienic conditions in canteen,Canteen
Unable to login to student portal in Block C,IT / WiFi
Urgent: bus timings are inconvenient,Transport
Urgent: wifi is not working in the lab,IT / WiFi
Menu prices not displayed in Block C,Canteen
Classroom is too hot,Infrastructure
No digital payment accepted during peak hours,Canteen
Long waiting time in canteen in Block C,Canteen
No guidance for projects in Block C,Faculty / Academics
Exam schedule overlaps in Block C,Exams / Results
No announcement about bus delays,Transport
Bus seats are damaged since yesterday,Transport
No announcement about bus delays since yesterday,Transport
Bus AC not working during peak hours,Transport
Bullying in college campus since yesterday,Ragging / Safety
Urgent: feedback not considered,Faculty / Academics
No drinking water near canteen,Canteen
Urgent: bus seats are damaged,Transport
Urgent: bus cleanliness is poor,Transport
No proper announcement system during peak hours,Other
Urgent: bus seats are damaged,Transport
Bonafide certificate delayed,Fees / Admin
Wrong marks updated in portal since yesterday,Exams / Results
No notes provided by faculty in Block C,Faculty / Academics
Urgent: lack of green spaces on campus,Other
Need alumni mentorship programs since yesterday,Other
VPN access is failing,IT / WiFi
Water leakage in lab during peak hours,Infrastructure
Threats received from seniors during peak hours,Ragging / Safety
Safety signage missing in Block C,Ragging / Safety
Orientation sessions are unclear since yesterday,Other
Fan is not working in class in Block C,Infrastructure
Power cut in hostel since morning in Block C,Hostel
Duplicate fee charged in Block C,Fees / Admin
Class is too fast to understand,Faculty / Academics
No internet in classroom since yesterday,IT / WiFi
Hot water not available in hostel since yesterday,Hostel
Wardens not responding to complaints since yesterday,Hostel
Urgent: no proper announcement system,Other
Class is too fast to understand,Faculty / Academics
Urgent: no notes provided by faculty,Faculty / Academics
Urgent: need alumni mentorship programs,Other
Menu prices not displayed,Canteen
No guidance for projects in Block C,Faculty / Academics
Class is too fast to understand,Faculty / Academics
Bus seats are damaged in Block C,Transport
Captcha error on login during peak hours,IT / WiFi
Scholarship amount not credited in Block C,Fees / Admin
Urgent: admin staff is rude,Fees / Admin
Bus stop changed without notice in Block C,Transport
Unable to login to student portal,IT / WiFi
Urgent: id card not issued,Fees / Admin
Urgent: internet speed is very slow,IT / WiFi
Long waiting time in canteen during peak hours,Canteen
Classroom is too hot since yesterday,Infrastructure
Bus seats are damaged in Block C,Transport
Need more cultural events since yesterday,Other
No quiet zones in library,Other
Urgent: no internet in classroom,IT / WiFi
Urgent: portal shows error while uploading,IT / WiFi
Urgent: cracked wall in classroom,Infrastructure
No proper announcement system in Block C,Other
Urgent: security guards not attentive,Ragging / Safety
College website is not opening,IT / WiFi
Toilet is very dirty,Infrastructure
Teacher arrives late to class in Block C,Faculty / Academics
Doubts not cleared in lab since yesterday,Faculty / Academics
Bonafide certificate delayed,Fees / Admin
Suspicious activity near hostel gate in Block C,Ragging / Safety
Bus route has been changed suddenly since yesterday,Transport
Two-factor authentication not working,IT / WiFi
Orientation sessions are unclear since yesterday,Other
WiFi is not working in the lab during peak hours,IT / WiFi
Transport fee is too high in Block C,Transport
Fees payment failed but amount debited,Fees / Admin
Urgent: hostel common area is unhygienic,Hostel
No guidance for projects since yesterday,Faculty / Academics
Drinking water cooler not working in hostel,Hostel
Wrong marks updated in portal,Exams / Results
Mosquito problem in hostel room since yesterday,Hostel
No CCTV in corridor,Ragging / Safety
Staff behavior is rude in canteen since yesterday,Canteen
Urgent: unable to login to student portal,IT / WiFi
Urgent: security is not available in block b,Ragging / Safety
Server is down during submission since yesterday,IT / WiFi
Office hours unclear since yesterday,Fees / Admin
Toilet is very dirty in Block C,Infrastructure
Mosquito problem in hostel room,Hostel
College website is not opening,IT / WiFi
Security guards not attentive during peak hours,Ragging / Safety
No notes provided by faculty during peak hours,Faculty / Academics
No ramps for accessibility during peak hours,Infrastructure
Urgent: long waiting time in canteen,Canteen
Urgent: drinking water cooler not working in hostel,Hostel
Need more cultural events,Other
Urgent: bonafide certificate delayed,Fees / Admin
Bus pass not issued since yesterday,Transport
Parking space is insufficient,Other
Bus cleanliness is poor during peak hours,Transport
Ragging happening near canteen since yesterday,Ragging / Safety
Classroom speakers not working,Infrastructure
Fees payment failed but amount debited in Block C,Fees / Admin
Bus cleanliness is poor in Block C,Transport
Urgent: college website is not opening,IT / WiFi
Urgent: result correction request pending,Exams / Results
Urgent: faculty is absent frequently,Faculty / Academics
No internet in classroom,IT / WiFi
Power cut in hostel since morning in Block C,Hostel
Faculty is not responding to doubts in Block C,Faculty / Academics
Utensils are dirty in Block C,Canteen
Staff behavior is rude in canteen during peak hours,Canteen
Limited food options available during peak hours,Canteen
Drinking water cooler not working in hostel during peak hours,Hostel
No internet in classroom since yesterday,IT / WiFi
Urgent: bus timings are inconvenient,Transport
Urgent: poor lighting in parking area,Ragging / Safety
Office hours unclear during peak hours,Fees / Admin
Feedback not considered since yesterday,Faculty / Academics
Urgent: two-factor authentication not working,IT / WiFi
Mentor meetings are irregular in Block C,Faculty / Academics
Hot water not available in hostel in Block C,Hostel
Urgent: hall ticket not generated,Exams / Results
Food is stale during peak hours,Canteen
Lift not working in block C in Block C,Infrastructure
Urgent: duplicate fee charged,Fees / Admin
Need more clubs and activities during peak hours,Other
Urgent: need career guidance sessions,Other
Urgent: poor lighting in parking area,Ragging / Safety
No response for TC request in Block C,Fees / Admin
Orientation sessions are unclear during peak hours,Other
AC not cooling in hostel room during peak hours,Hostel
Windows are jammed since yesterday,Infrastructure
Bus cleanliness is poor,Transport
Wardens not responding to complaints since yesterday,Hostel
Attendance portal is slow,IT / WiFi
Fees payment failed but amount debited during peak hours,Fees / Admin
VPN access is failing since yesterday,IT / WiFi
Teaching quality is poor during peak hours,Faculty / Academics
Hot water not available in hostel,Hostel
Urgent: name correction request pending,Fees / Admin
Room light is flickering in hostel during peak hours,Hostel
Urgent: captcha error on login,IT / WiFi
Urgent: broken door lock in hostel room,Hostel
Need career guidance sessions during peak hours,Other
Captcha error on login since yesterday,IT / WiFi
Document verification delayed during peak hours,Fees / Admin
No digital payment accepted during peak hours,Canteen
Room light is flickering in hostel in Block C,Hostel
Two-factor authentication not working during peak hours,IT / WiFi
Need more study space during peak hours,Other
Fees portal not opening,Fees / Admin
Safety signage missing during peak hours,Ragging / Safety
Class is too fast to understand since yesterday,Faculty / Academics
Suspicious activity near hostel gate during peak hours,Ragging / Safety
Lift not working in block C since yesterday,Infrastructure
Doubts not cleared in lab during peak hours,Faculty / Academics
Broken door lock in hostel room since yesterday,Hostel
Bus breakdown on the way since yesterday,Transport
Hot water not available in hostel in Block C,Hostel
Mentor meetings are irregular,Faculty / Academics
Urgent: canteen food quality is bad,Canteen
No drinking water near canteen during peak hours,Canteen
Name correction request pending during peak hours,Fees / Admin
Urgent: no hygienic conditions in canteen,Canteen
Food is stale in Block C,Canteen
Bus AC not working since yesterday,Transport
No announcement about bus delays in Block C,Transport
Revaluation result pending,Exams / Results
Urgent: fee deadline extension needed,Fees / Admin
Food allergy info not available during peak hours,Canteen
Parking space is insufficient since yesterday,Other
Result correction request pending since yesterday,Exams / Results
Urgent: security guards not attentive,Ragging / Safety
Urgent: feedback not considered,Faculty / Academics
VPN access is failing in Block C,IT / WiFi
Hostel WiFi not working since yesterday,Hostel
Mosquito problem in hostel room since yesterday,Hostel
LMS not loading videos in Block C,IT / WiFi
No seating space in peak hours,Canteen
Urgent: attendance portal is slow,IT / WiFi
No dustbin in corridor since yesterday,Infrastructure
